quest number	question statement	Option A	Option B	Option C	Option D	Answer	explanation
Q11	You are working on a project where you discover a certain negative risk with a potential impact of $2,000,000. You meet with your project stakeholders who determine that this is within their risk appetite, provided you meet a risk threshold of 10%. What will you do next?	Note the acceptable risk level as a threat of $200,000 (10%).	Note the acceptable risk level as a threat of $1,800,000 to $2,200,000 (10% variance).	Note the impact as outside the acceptable risk level of $2,000,000.	Note the impact as an opportunity of $200,000 (10%).	B	Risk appetite describes the level of uncertainty or risk your stakeholders are willing to accept. Risk threshold is the measure of acceptable variation around an objective that reflects the risk appetite. In this scenario a 10% variation around $2m is $1.8m to $2.2m. (PMBOK Guide) – Seventh Edition, 2021, p54, “Risk”
Q12	A risk has been raised in your project around insufficient building materials. One risk response assigned to the functional manager suggests to use a brand new material, which has not been fully tested in a building project. Half of your stakeholder group are happy with this risk response, but the other half are not, and refuse to sign off on it. What will you do next?	Suggest a quantitative risk approach to give a more accurate financial impact.	Suggest they proceed with the proposed risk response, and ensure it is followed through.	Suggest a different risk owner, as an executive may have more power to respond to the risk.	Suggest a different risk response, as they should be timely, cost effective, realistic, and agreed to by relevant stakeholders.	D	This question refers to risk responses. Risk responses should be appropriate and timely to the significance of the risk, cost effective, realistic within the project context, agreed to by relevant stakeholders, and owned by a responsible person. D is the best answer. (PMBOK Guide) – Seventh Edition, 2021, p54, “Risk”
Q13	Your project is starting to go off track due to a large amount of uncertainty in the requirements and resources. At a significant cost, you have managed to rein in these issues, however your project management office would like you to brainstorm ways to improve with your team so that they do not happen again. What will you do next?	Ask your team to increase the project Contingency Reserve, to allow for these impacts.	Ask your team to change the project methodology from Waterfall to Agile.	Ask your team to use short feedback loops, continuous improvement, and transparent planning.	Ask your team to check their work twice before sending it to the next part of the process.	C	A project team needs to embrace adaptability and resiliency with methods such as using short feedback loops, continuous learning and improvement, regular inspection and adaptation of project work, diverse project teams, transparent planning, using prototypes and more. (PMBOK Guide) – Seventh Edition, 2021, p56, “Embrace adaptability and resiliency.”
Q14	As your project progresses, many of the business stakeholders are starting to voice their concerns, to question some of the changes, and even miss key meetings while trying to sabotage your efforts. What will you do next?	Communicate the vision and benefits for the change clearly, along with the impact to their work.	Create an impact over influence chart to determine who should be engaged appropriately.	Escalate the matter with your project sponsor, and arrange for different stakeholders.	Map the current state and the proposed future state of the change for the stakeholders.	A	This question is on change management, which is a structured approach to transitioning groups to a future state. Too much change or lack of understanding can lead to resistance and change fatigue. Methods include communicating the vision, goals and benefits of the change early, along with the impact to work processes. (PMBOK Guide) – Seventh Edition, 2021, p59, “Enable change to achieve the envisioned future state”.
Q15	You are analysing your stakeholders through an impact over influence chart and have found more than 100 different groups of people, and over 3000 impacted stakeholders. Other parts of your project are starting to fall behind as you try to keep up with the large amount of people. What will you do next?	Ask your project team to engage different groups of stakeholders so everyone is covered.	Clearly prioritise the stakeholders then engage and communicate with the highly impacted and influential groups early and often.	Monitor the stakeholders for signs of stress and respond to groups most stressed about the project.	Create a SharePoint page for changes that any stakeholder can gather information from anytime.	B	This question is about engaging stakeholders. The process includes: Identify, Understand and Analyse, Prioritise, Engage and Monitor your stakeholders. Where you have too many to engage effectively, prioritisation is the key. Impact and influence are two ways, as well as Power, Beliefs, Expectations, proximity to the project, interest and more. (PMBOK Guide) – Seventh Edition, 2021, p11, 12, “Stakeholder Engagement: Prioritise and Engage”
Q16	You are managing a project which communicates to the customer using mostly pull communication so far. When monitoring the engagement of your stakeholders, you notice a trend that they are not clear on the impacts or benefits of the project. You decide to add push communication to your communication plan. What will you do next?	Create a webpage using SharePoint with all the project information, that your stakeholders can see.	Push for more funding on your project, and communicate this to your project sponsor.	Push your stakeholders to engage in more two-way communication.	Send a weekly email to stakeholders with a project update, including the impacts and benefits.	D	Push communication is sent to stakeholders, using memos, emails, status reports, voice mail and more. Pull communication is something a customer can pull at any time – from a bulletin, a web page, a white board, etc. (PMBOK Guide) – Seventh Edition, 2021, p13, “Types of Communication”
Q17	You have taken over on a project with a vendor where scope and requirements have been missed. You notice that miscommunication and mixed messages are common. You set a meeting with your team and the vendor’s team. The meeting is extremely important to get right. What will you do next?	Speak slowly and clearly with the vendor’s team, at a louder volume if necessary.	Confirm they hear your message, determine if they agree, and identify nuanced or unintended messages they may have received.	Only communicate with the vendor in writing, so you have a trail of proof if anything goes wrong in the future.	Prepare a claim for the mishandled scope of your project through your procurement team.	B	This question is asking about communication. With all forms of communication, quick feedback loops provide the information you need by confirming they heard the message, determining if they agree, and identifying any nuances or additions to the message they may have added or heard. (PMBOK Guide) – Seventh Edition, 2021, p13, “Stakeholder Engagement: Engage”
Q18	Your stakeholders seem to be engaged, however there are frequent changes to scope and requirements, causing delays. Issues are often raised and result in multiple rounds of feedback. You are not sure who or what could be the cause. What will you do next?	Perform root cause analysis with your project team on the problem to brainstorm ideas.	Raise a risk in the risk register for the project delay, and review responses with your team.	Review the issue log, risk register and change log for the most frequent requestors, then update your stakeholder engagement approach for those people.	Ensure your project budget has enough contingency reserves to meet the multiple reviews and delays.	C	A significant number of changes or modifications to the project requirements or scope may indicate stakeholders are not engaged or aligned with the project objectives. A review of the project issue register or risk register can identify challenges associated with individual stakeholders. (PMBOK Guide) – Seventh Edition, 2021, p15, “Checking outcomes – Stakeholder Performance”
Q19	You have been working on a project where the manager leads in a dictatorship style. Over time, the team have stopped making suggestions, sick days and mental health days have become more frequent, and the pace of work has slowed. The manager comes to you for help. You suggest a servant leadership style instead. What will they do next?	Serve the team as much as they can, ensuring their every need is met.	Focus on obstacle removal, encouragement and development opportunities.	Ensure their team are serving other team members and helping each other succeed.	Serve the team new ways to do the work and engage them through additional variety.	B	Servant leaders allow project teams to self-organise when possible, and increase levels of autonomy by passing appropriate decision making opportunities to project team members. Servant leadership behaviours also include obstacle removal, being a diversion shield, and development opportunities. (PMBOK Guide) – Seventh Edition, 2021, p18, “Distributed management and leadership.”
Q20	You have been allocated to a new project team with members from different parts of the functional business area. It soon becomes clear that very few of them have worked on a project before. There is also a lot of miscommunication and re-work occurring amongst the team, which is starting to cause delays. What will you do next?	Set a daily stand-up with your team to ensure they update what they completed.	Review the Resource Assignment Matrix with your team and ensure they are doing their job.	Help the team set their vision and objectives, roles and responsibilities, and team operations.	Send your team members on training in their roles to increase their capability.	C	When project teams form across different organisations, more work may be required up front to establish a “one-team” mindset, ensuring everyone understands how they contribute. Team development such as establishing a vision, clear roles & responsibilities, and a way of working are key. (PMBOK Guide) – Seventh Edition, 2021, p18, “Common aspects of Team Development”
Q21	You have collected the requirements for your project, matched them to project scope, and broken them down into smaller parts and the activities required. In doing this, you notice that the manager of the marketing department has added extra scope that is unrelated to your current project. What will you do next?	Start an open dialogue with the functional manager, raise the incorrect scope items and their impacts.	Override the marketing manager’s decision on scope as you are the senior project manager.	Raise a change request for the additional scope and let the Change Control Board decide.	Place the additional scope into the product backlog for the product owner to prioritise it.	A	Without an open dialogue, you may not know if the scope was a mistake, previously approved, or any other reason for it being there. Positive discourse and courage are key aspects of a winning project team culture. Others include support, respect, celebrating success, and transparency. (PMBOK Guide) – Seventh Edition, 2021, p21, “Project Team Culture”
Q22	Your project team are protected by a union agreement. You notice that they don’t know how to use the product you are improving, are slow to respond and regularly complain about the work. Your project sponsor has had enough and threatens to shut the project down if improvements can’t be made. What will you do next?	Set up a new project with different team members and transfer the project work to that team.	Set a clear project purpose and vision and pair your team with the customer to show them how they are making a positive difference.	Tell your project team that they will lose their jobs in they don’t improve the speed of their work.	Create a project Gantt Chart schedule and burndown chart so the project work is transparent to all.	B	This question calls for leadership skills, where setting a vision and purpose and showing your team how they are making a difference can increase their intrinsic motivation. Transferring to another team in the same company may risk the same result, and threatening your team may embed their behaviour further. (PMBOK Guide) – Seventh Edition, 2021, p24,25, “Leadership Skills: Establishing a Vision; Motivation”
Q23	During a key scope meeting, an argument arises. The business manager accuses the technology manager of not delivering to their needs on past projects, and the technology manager accuses the business manager of changing requirements that impact the delivery schedule. The meeting is at risk, with the stakeholders being closed off to any further discussion. What will you do next?	Take the side of the technology manager, as scope that impacts delivery should be controlled.	Take the side of the business manager, as we should always deliver to the customer’s specification.	Facilitate to keep communication respectful, focus on the issue in the present and search for alternatives together.	Ensure they both agree to the change control process to avoid disagreements in the future.	C	Not all conflict is negative. How conflict is handled can either lead to more conflict or to better decision making and stronger solutions. The PMBOK Guide notes open and respectful communication, focusing on the issue not the person, the present not the past, and searching for alternatives together. (PMBOK Guide) – Seventh Edition, 2021, p29, “Conflict Management”
Q24	You are working on a project where the project team is completely distributed around the country in multiple sites, including working from home. Some of the project team members have not been able to contribute to the project, and there are concerns from the program that the project will fall behind. What will you do next?	Raise a request to the program to co-locate all your project team members as soon as possible.	Proceed with daily stand-ups and working group meetings with any team members in your area.	Set team leaders for each area around the country, to report back to you as the centralised project leader.	Use technology to maintain ongoing contact with audio and video for meetings, with a team web site to keep all project information available.	D	This question is on distributed project teams. To improve you can use audio and video capabilities for meetings, use technology (including messaging) for ongoing contact, build in time to get to know remote team members, and have an open project site for information. (PMBOK Guide) – Seventh Edition, 2021, p30, “Distributed project teams”.
Q25	You are initiating a project to a sales team where the process will change significantly, even though the outcome of a completed sale will remain the same. The functional manager is concerned about the change and any disruption it might bring. What will you do next?	Kick off the project with multiple deliveries to deliver small parts and reduce the change impact.	Kick off the project work with a single delivery at the end of the project when the process change is complete.	Kick off the project with continuous delivery in mind, to ensure fast value to the business.	Kick off the project using periodic deliveries, delivering value as it is ready.	B	This question covers delivery cadence and their various benefits. A process re-engineering project may not have any deliveries until near the end of the project when the new process is rolled out and ready. (PMBOK Guide) – Seventh Edition, 2021, p34, “Delivery Cadence”
Q26	You are working on a project where the requirements are clear but the solution ideas are uncertain. The product owner and the technical experts can’t be sure which ideas will work in practice, and which ones won’t. The organisation cannot afford to get this project wrong, as they have previously made mistakes and customers are starting to leave. What will you do next?	Use an Incremental development approach for the project.	Use an Iterative development approach for the project.	Use a Predictive development approach for the project.	Use a hybrid development approach for the project.	B	For development approaches, an iterative approach is used when you need to capture ideas that might change, while still delivered in one release. Incremental progressively delivers features (or increments), Predictive plans everything up-front, and hybrid is a combination of predictive and adaptive. (PMBOK Guide) – Seventh Edition, 2021, p37, “Development approaches.” Agile Practice Guide, 2017, p18, “Characteristics of project lifecycles.”
Q27	You are working on a new product for your organisation where the requirements are complex and are likely to change a few times as the project progresses. The organisation also needs usable parts of the product to be released as soon as possible to try and capture some of the market they are aiming for, away from their competitors. What will you do next?	Recommend an Iterative development approach.	Recommend a Predictive development approach.	Recommend an Adaptive development approach.	Recommend a Hybrid development approach.	C	Adaptive approaches are useful when requirements are subject to uncertainty and change. A clear vision is established at the start of the project, and initial known requirements are refined or replaced in accordance with user feedback or unexpected events. (PMBOK Guide) – Seventh Edition, 2021, p38, “Adaptive approach”
Q28	A new project has been kicked off in your organisation due to a recent government inquiry into your industry, which found multiple processes with significant regulatory oversight that need to change. The inquiry ordering these changes has given you a due date of 10 months’ time before you start incurring penalties. What will you do next?	Proceed, with an Agile development approach to deliver change as quickly as possible.	Proceed, with a Hybrid development approach to respond to changes while planning up front.	Proceed, with a Predictive methodology to ensure quality control.	Proceed, with an Iterative methodology to improve using feedback.	C	In considerations for selecting a development approach, environments that have significant regulatory oversight may need to use a predictive approach due to the required process, documentation and demonstration needs. (PMBOK Guide) – Seventh Edition, 2021, p40, “Considerations for selecting a development approach.”
Q29	Your organisation is moving to an Agile way of work. Your project team are strongly opposed to using Agile as they have been burned using iterations, when executives used the team velocity to try and force the team to work faster instead of keeping a sustainable pace. What will you do next?	Add extra resources to your team to deliver faster and avoid executives getting involved.	Proceed with a predictive development approach, and deal with the consequences later.	Ask your team to work with Agile, velocity and iterations despite their hesitations.	Suggest the team uses flow-based scheduling, with a Kanban board for visual work.	D	Kanban is one of the largest parts of Agile approaches, aside from other major parts such as Lean, XP and Scrum. A flow-based scheduling approach does not use sprints, lifecycles or velocity but optimises deliveries based on resource capacity, and minimises waste such as context-switching and hand-offs. (PMBOK Guide) – Seventh Edition, 2021, p45, “Flow-based scheduling.”
Q30	Your team have not worked on projects before, and don’t know about waterfall, agile, or any of the different models. Your project may also have requirements that are certain or uncertain, with varying levels of risk, so are not sure which approach to use as you begin this new project. What will you do next?	Use Waterfall and plan everything up front, so the team have more stability.	Use general phase definitions such as Feasibility, Design, Build, Test, Deploy and Close.	Use Agile to ensure you can respond to change while your team’s capability increases.	Don’t use any project approach – it doesn’t matter as long as the work is getting done.	B	All projects will go through the general phases of Feasibility, Design, Build, Test, Deploy and Close. Waterfall projects will do these in sequence once, while Agile projects will do these multiple times, for each feature or increment. The underlying principle remains the same, so it is a good place to start. (PMBOK Guide) – Seventh Edition, 2021, p42, “Lifecycle and phase definitions”
Q31	You are a project manager in an organisation with a directive Project Management Office, and are currently in between projects. The PMO asks you to prepare for an upcoming project in the accounting area by meeting with the functional manager there. You have no team, no scope or requirements and no timeline as yet. What will you do next?	Ask the functional manager for their wish-list of improvements, so you can take these to your PMO.	Create a project management plan so the project, scope, budget and schedule are more clear.	Create a small backlog of work and start your first sprint, then progressively update the backlog as the project progresses.	Progressively elaborate the vision statement and project charter to define a coordinated approach.	D	Before initiating a project of any sort, we start with a vision statement, project charter or business case in order to identify a co-ordinated path to achieve the desired outcomes. (PMBOK Guide) – Seventh Edition, 2021, p52, “Planning Overview”
Q32	You are working on a project where part of the project delivers a high-value, high-risk component. Another part of the project delivers a routine change to the system. Your project sponsor wants to gain the business value as quickly as possible, but your project team want to start with the work they are familiar with first. What will you do next?	Prioritise the high-risk items at the end of the project.	Prioritise the high-risk items at the start of the project.	Use an incremental approach and deliver part of the routine and high-risk work in each sprint.	Plan out the work in detail and secure a scope baseline, with formal change controls to reduce uncertainty.	B	This question refers to the concept of the last responsible moment. Work that is novel or risky can be prioritised at the start of the project to reduce uncertainty with the project scope before a large investment has been made. Routine work can be delayed until the cost of further delay would exceed the benefit. (PMBOK Guide) – Seventh Edition, 2021, p54, “Delivery”, paragraph 3
Q33	You are working on an agile project where the functional area you are delivering to only has a high-level idea of the system requirements they will need. The functional manager suggests a Work Breakdown Structure, however your team feel that is more for a predictive (waterfall) delivery approach. What will you do next?	Use and create a WBS anyway, as it is just a tool.	Use rolling wave planning, and keep the work at a high level until you are ready to work on it, when you can plan in detail.	Note the high-level themes or epics, decompose them into features, and again into user stories.	Ask the functional area for more detailed requirements before the project begins.	C	This question refers to “decomposition” or breaking down the work. We could use a WBS, or rolling wave planning, but for an incremental approach breaking down the work from epics to features to user stories is a form of decomposition that fits the delivery approach. (PMBOK Guide) – Seventh Edition, 2021, p54, “Delivery”, paragraph 3
Q34	You are at the beginning of planning a new project, and have researched and gathered the requirements from the area, broken them down into deliverables and activities, which you believe could take 26 weeks to deliver. The project sponsor is asking you for an estimate on how long the project will take. What will you do next?	Tell the project sponsor 26 weeks.	Tell the project sponsor that you will use an iterative approach, where value is delivered until the project stops.	Tell the project sponsor approximately 24 to 28 weeks.	Tell the project sponsor approximately 20 to 45 weeks.	D	This question is related to estimation and range. Estimates should have a broad range at the start of the project, starting at -25% to +75% when there is not much information. Once the project team has a smooth delivery cadence and experience in the product, a smaller range such as -5% to +10% can be used. A 0% range is when everything is known – and the product has been delivered. (PMBOK Guide) – Seventh Edition, 2021, p55, “Estimating, Range”.
Q35	After gathering your project requirements, project scope, and breaking it down into activities, you need to estimate the project schedule with your team. After some analysis and discussion, your team come up with a range of 53 to 75 days assigned across all tasks. What will you do next?	The estimate is high accuracy but low precision – ask the team to come back with a more precise estimate.	The estimate is low accuracy but high precision – ensure the estimates become more accurate as the project unfolds.	The estimate is in high confidence but low precision – proceed as is and adjust using an incremental approach.	The estimate is in low confidence but high accuracy – allow the team to become more confident as the project unfolds.	B	This question is on estimates and their accuracy. The lower the accuracy, the larger the potential range in values. Precision is different from accuracy, as it refers to the exactness of the estimate, for example “2 days” is more precise than “sometime this week”. (PMBOK Guide) – Seventh Edition, 2021, p54, “Estimating: accuracy, precision, confidence”
Q36	You are working on a business case where you know that the industry is undergoing a significant change at the moment, and there could be many different impacts to your project benefits before it is delivered completely. The project sponsor asks you for the best estimate of benefits you can give under the circumstances. What will you do next?	Ask your team for a probabilistic estimate.	Ask your team for a deterministic estimate.	Ask your team for an absolute estimate.	Ask your team for a relative estimate.	A	Probabilistic estimates include a range of estimates, along with the associated probabilities within the range such as a confidence level or a probability distribution. If the estimate is uncertain, this is the best approach. Deterministic is a number, absolute is specific, actual numbers and relative estimates are shown in comparison to other estimates. (PMBOK Guide) – Seventh Edition, 2021, p57, “Presenting estimates.”
Q37	You have noted nine epics for delivery as part of your most recent project. Your team have broken down these epics into user stories, and would like to see the effort involved for these deliverables. You ask your team to find the smallest user story, size it with a “1”, and then determine the size of the other cards based on how they compare to the original card. What approach are you taking?	Relative estimating with your team.	Deterministic estimating to determine the effort.	Absolute estimating to get an estimate with absolute certainty.	Probabilistic estimating with the highest probability items.	A	This question is about estimating, and making an estimate in comparison to other estimates is relative estimating. (PMBOK Guide) – Seventh Edition, 2021, p57, “Relative Estimating”
Q38	You are working on a project where a competitor is also working on a similar feature, and being first to the market will have a significant impact on this year’s profit. Your product owner would like to measure how quickly story cards are being completed, once they start being developed. What will you do next?	Check the Lead time of the story cards.	Check the Gantt chart with assigned schedule activities.	Check the Cycle time of the story cards.	Check the schedule network and precedence diagram.	C	Cycle time is the total elapsed time it takes one unit to get through a process. Lead time is the time from when the customer makes the order (or the requirement is noted) to the time the item is delivered or released. Schedule network diagram is useful for finding the Critical Path, and precedence diagramming is used to find what deliverable or activity relies on others. (PMBOK Guide) – Seventh Edition, 2021, p58, “Flow-based estimating”
Q39	You are working on a project that has recently moved to a more agile way of work. The team have not completely taken on the Scrum approach however, and are comfortable working with a more flow-based approach moving user stories across a Kanban board. You are wanting to get an estimate on how much work can be completed in the next three months, based on the team’s existing progress. What will you do next?	Multiply the velocity by the number of remaining user stories.	Multiply the cycle time by the throughput.	Multiply the lead time by the schedule performance index.	Multiply the planned value by the actual value.	B	Scrum uses velocity – Kanban or Flow-based estimates are developed by determining the cycle time and throughput. Cycle time is the total elapsed time it takes one unit to get through a process. Throughput is the number of items that can complete a process in a given amount of time. (PMBOK Guide) – Seventh Edition, 2021, p58, “Flow-based estimating.”
Q40	Your product owner wants to bring the next feature forward so that it is done in parallel to the current feature, but is still released in the existing feature order. You make the necessary adjustments to the product backlog, and decide to adjust the product roadmap, which you have visualised as a Gantt chart. What will you do next?	Use a schedule lead on the feature, and change the feature to finish-to-start.	Use a schedule lag on the feature, and change the feature to start-to-start.	Use a schedule lead on the feature, and change the feature to finish-to-finish.	Use a schedule lag on the feature, and change the feature to start-to-finish.	C	A schedule lag is moving an item back, a schedule lead is bringing an item forward. Precedence diagramming method states for Finish-to-Finish items, the next item cannot finish until the previous item has finished. This allows the items to be worked on in parallel, while still keeping the same delivery order. (PMBOK Guide) – Seventh Edition, 2021, p59, “Schedules; Lead, Lag.” (PMBOK Guide) – Sixth Edition, 2017, p180, “Precedence diagramming method”
Q41	You are working on a project where you have been completing the deliverables in sequence, and the project work is starting to fall behind. The project sponsor asks you to speed up the work and reduce the time for the project to be delivered, but also makes it very clear that there is no more money to use when speeding up the work. What will you do next?	Apply leads and lags to your project schedule.	Apply fast tracking to your project schedule.	Apply schedule crashing to your project.	Apply resource levelling to your project.	B	Fast tracking is a schedule compression technique where sequential activities are performed in parallel without additional cost. Crashing requires additional cost/resources.
Q42	After reviewing your project schedule you notice you are behind by three weeks and the schedule will need to be compressed. Your project does not have enough budget to crash the schedule. You check with the lead for each area and review the schedule as to whether they can fast track their deliverables. What will you do next?	Fast track team items with discretionary dependencies.	Fast track team items with mandatory dependencies.	Fast track team items with external dependencies.	Fast track team items based on industry regulation.	A	Discretionary (internal/preference-based) dependencies can be modified, making them suitable for fast tracking. Mandatory and external dependencies usually cannot be changed.
Q43	Your team are new to agile, and had previously been working with Waterfall. Your key customer asks you for a project schedule. The project team believes using a project schedule is from the old waterfall way of working and they shouldn’t have to create one. What will you do next?	Create a project Gantt chart to visualise the activities within the project.	Determine the project’s planned versus actual value, instead of working with a schedule directly.	Advise the customer that we don’t need to plan ahead in an adaptive way of work.	Ask your team to develop a high-level release plan like a product roadmap, showing the features to be included in each release.	D	Agile uses incremental planning. A high-level release plan (roadmap) communicates schedule expectations without rigid detailed planning.
Q44	You are working in a project team that has recently moved to an Agile way of work. Your business analysts want to gather the requirements, solutions, match them to the scope and do a WBS for the whole deliverable. Your product owner says this will take too long, and is not agile enough for their needs. What will you do next?	Ask your team to review the scope management plan for the proper process.	Break the deliverable down into smaller pieces so you can deliver those faster.	Ask your team to timebox work on the highest priority items in the backlog, update the estimates then reprioritise as necessary.	Review the project charter for the high-level scope, and use this to begin delivery quickly.	C	Agile focuses on timeboxing and prioritised backlogs, enabling continuous delivery and reprioritisation.
Q45	When reviewing the current progress with your project sponsor, they notice that the system solution is missing a critical piece that will impact the benefit of the project. The project sponsor approves this scope. Your project has a Planned Value of $520,000 and an Actual Cost of $535,000. What will you do next?	Work with the PMO to unlock the project management reserves for the extra work.	Ask the Product Owner to reprioritise the backlog and see if the new work will fit.	Perform the work within your normal budget as your project is on track.	Raise a change request for the changes and gain approval from the Change Control Board.	A	Management reserves are used for unforeseen in-scope work and are typically controlled at PMO/program level.
